name,info
"
            (3D 數位)哥吉拉大戰金剛 (保護級)
        ","{'04/21 Wed': '14:50', '04/22 Thu': '14:50'}"
"
            (4DX 3D)哥吉拉大戰金剛 (保護級)
        ","{'04/20 Tue': '21:40', '04/21 Wed': '12:20:17:00:21:40', '04/22 Thu': '12:20:17:00:21:40'}"
"
            (4DX)真人快打 (輔15級)
        ","{'04/20 Tue': '19:20', '04/21 Wed': '14:40:19:20', '04/22 Thu': '14:40:19:20'}"
"
            (數位 國)劇場版 假面騎士ZERO-ONE REALxTIME (保護級)
        ","{'04/21 Wed': '16:55', '04/22 Thu': '16:55'}"
"
            (數位 日)劇場版 假面騎士ZERO-ONE REALxTIME (保護級)
        ","{'04/20 Tue': '20:55', '04/21 Wed': '10:50:14:55:20:55', '04/22 Thu': '10:50:14:55:20:55'}"
"
            (數位)藥命交錯 (輔12級)
        ","{'04/21 Wed': '10:20:12:35:14:50:17:05:19:20:21:35:23:50', '04/22 Thu': '10:20:12:35:14:50:17:05:19:20:21:35:23:50'}"
"
            (數位)名偵探柯南 緋色的彈丸 (普遍級)
        ","{'04/20 Tue': '18:40:19:50:20:50:22:00:23:00:00:10', '04/21 Wed': '10:00:11:10:13:20:14:30:15:30:17:40:18:50:19:50:21:00:22:00:23:10:00:10', '04/22 Thu': '10:00:11:10:13:20:14:30:15:30:17:40:18:50:19:50:21:00:22:00:23:10:00:10'}"
"
            (數位)哥吉拉大戰金剛 (保護級)
        ","{'04/20 Tue': '18:25:20:35:22:45:00:55', '04/21 Wed': '09:45:11:55:14:05:16:15:18:25:20:35:22:45:00:55', '04/22 Thu': '09:45:11:55:14:05:16:15:18:25:20:35:22:45:00:55'}"
"
            (數位)戀愛腦內諮商室 (普遍級)
        ","{'04/21 Wed': '10:30', '04/22 Thu': '10:30'}"
"
            (數位)郵差 (普遍級)
        ","{'04/20 Tue': '21:45', '04/21 Wed': '14:15', '04/22 Thu': '14:15'}"
"
            (數位)私刑救援 (輔15級)
        ","{'04/20 Tue': '22:50', '04/21 Wed': '12:50', '04/22 Thu': '12:50'}"
"
            (數位)聽見歌 再唱 (普遍級)
        ","{'04/20 Tue': '19:35:20:40:21:40:22:50:23:50:01:00', '04/21 Wed': '09:50:10:50:12:00:13:00:14:10:15:10:16:20:17:20:18:30:19:30:20:40:21:40:22:50:23:50:01:00', '04/22 Thu': '09:50:10:50:12:00:13:00:14:10:15:10:16:20:17:20:19:30:20:40:21:40:22:50:23:50:01:00'}"
"
            (數位)暖心龍蝦湯 (普遍級)
        ","{'04/20 Tue': '19:00', '04/21 Wed': '14:45:19:00', '04/22 Thu': '14:45:19:00'}"
"
            (數位)當男人戀愛時 (輔12級)
        ","{'04/20 Tue': '18:45:19:30:20:15:21:00:21:45:22:30:23:15:00:00:00:45', '04/21 Wed': '09:45:10:30:11:15:12:00:12:45:13:30:15:00:15:45:16:30:17:15:18:00:19:30:20:15:21:05:21:50:22:35:00:05:00:50', '04/22 Thu': '09:45:10:30:11:15:12:00:12:45:13:30:15:00:15:45:16:30:17:15:18:00:19:30:20:15:21:05:21:50:22:35:00:05:00:50'}"
"
            (數位)令人討厭的松子的一生 (輔12級)
        ","{'04/21 Wed': '10:25', '04/22 Thu': '10:25'}"
"
            (數位)真人快打 (輔15級)
        ","{'04/20 Tue': '18:30:20:35:22:45:00:55', '04/21 Wed': '10:35:13:45:15:55:18:00:20:05:22:10:00:15', '04/22 Thu': '10:35:13:45:15:55:18:00:20:05:22:10:00:15'}"
"
            (數位)無名弒 (輔15級)
        ","{'04/20 Tue': '19:05:23:00', '04/21 Wed': '12:55:19:00:23:00', '04/22 Thu': '12:55:19:00:23:00'}"
"
            (數位)游牧人生 (普遍級)
        ","{'04/20 Tue': '20:55', '04/21 Wed': '20:55', '04/22 Thu': '20:55'}"
"
            (數位)友你真好 (輔12級)
        ","{'04/20 Tue': '23:00', '04/21 Wed': '23:00', '04/22 Thu': '23:00'}"
"
            (數位)盜夢偵探 (輔12級)
        ","{'04/20 Tue': '23:55', '04/21 Wed': '23:55', '04/22 Thu': '23:55'}"
"
            (數位)花漾女子 (輔15級)
        ","{'04/21 Wed': '12:40', '04/22 Thu': '12:40'}"
"
            (數位)永生戰 (輔12級)
        ","{'04/20 Tue': '18:30:20:40:22:50:23:55:01:00', '04/21 Wed': '09:50:12:00:13:00:14:10:15:10:16:20:17:20:18:30:20:40:22:50:23:50:01:00', '04/22 Thu': '09:50:12:00:13:00:14:10:15:10:16:20:17:20:18:30:20:40:22:50:23:50:01:00'}"
"
            (數位)樹海村 (輔12級)
        ","{'04/20 Tue': '20:55:23:10', '04/21 Wed': '10:00:16:45:21:15', '04/22 Thu': '10:00:16:45:21:15'}"
"
            (數位)逐夢練習曲 (普遍級)
        ","{'04/21 Wed': '20:55', '04/22 Thu': '20:55'}"
"
            (數位)鐵幕行動 (保護級)
        ","{'04/20 Tue': '20:55:23:05', '04/21 Wed': '11:25:16:40:19:00:23:20', '04/22 Thu': '11:25:16:40:19:00:23:20'}"
"
            (數位)佳麗村三姊妹 (保護級)
        ","{'04/20 Tue': '19:15', '04/21 Wed': '12:10:19:35', '04/22 Thu': '12:10:19:35'}"
"
            (數位)跟著奈良美智去旅行 經典重映 (普遍級)
        ","{'04/20 Tue': '19:05', '04/21 Wed': '19:05', '04/22 Thu': '19:05'}"
"
            (數位)惡夜殺神 (限制級)
        ","{'04/21 Wed': '10:20:13:40:15:35:17:30:19:25:21:20:23:15', '04/22 Thu': '10:20:13:40:15:35:17:30:19:25:21:20:23:15'}"
"
            (數位)男人與他的海 (普遍級)
        ","{'04/21 Wed': '17:00', '04/22 Thu': '17:00'}"
"
            (數位)愛．殺 (限制級)
        ","{'04/21 Wed': '22:45', '04/22 Thu': '22:45'}"
"
            (LIVE)寶塚歌劇 宙組UMEDA ARTS THEATER公演『HOTEL SVIZRA HOU (普遍級)
        ",{'05/05 Wed': '15:15'}
"
            (LIVE)寶塚歌劇 花組寶塚大劇場公演『奧古斯都╴神聖至尊╴』『COOL BEAST！！』千秋樂  (普遍級)
        ",{'05/10 Mon': '11:45'}
"
            (PRE)大鼻子情聖 英國國家劇院現場 (普遍級)
        ","{'04/20 Tue': '19:10', '05/15 Sat': '11:30'}"
"
            (PRE)倫敦生活 英國國家劇院現場 (輔12級)
        ","{'04/24 Sat': '11:30', '05/04 Tue': '19:10', '05/25 Tue': '19:10'}"
"
            (PRE)議事錄 英國國家劇院現場 (普遍級)
        ","{'04/25 Sun': '11:30', '05/11 Tue': '19:10'}"
"
            (PRE)戰馬 英國國家劇院現場 (普遍級)
        ","{'05/16 Sun': '11:30', '05/18 Tue': '19:10'}"
